ID,Client IP,System Name,Status,Hostname,OS Name,License Status,Disk Space (GB),RAM (GB),AV Status,Firewall Status,Raw JSON/Error
178,10.1.1.31,,Failed,,,,,,,,"""Port Closed"""
179,10.1.1.32,,Failed,,,,,,,,"""Port Closed"""
180,10.1.1.33,,Failed,,,,,,,,"""Port Closed"""
181,10.1.1.34,,Failed,,,,,,,,"""Port Closed"""
182,10.1.1.35,,Failed,,,,,,,,"""Port Closed"""
183,10.1.1.36,,Failed,,,,,,,,"""Port Closed"""
184,10.1.1.37,,Failed,,,,,,,,"""Port Closed"""
185,10.1.1.38,,Failed,,,,,,,,"""Port Closed"""
186,10.1.1.39,,Failed,,,,,,,,"""Port Closed"""
187,10.1.1.4,,Failed,,,,,,,,"""Port Closed"""
188,10.1.1.40,,Failed,,,,,,,,"""Port Closed"""
189,10.1.1.41,,Failed,,,,,,,,"""Port Closed"""
190,10.1.1.42,,Failed,,,,,,,,"""Port Closed"""
191,10.1.1.43,,Failed,,,,,,,,"""Port Closed"""
192,10.1.1.5,,Failed,,,,,,,,"""Port Closed"""
193,10.1.1.44,,Failed,,,,,,,,"""Port Closed"""
194,10.1.1.45,,Failed,,,,,,,,"""Port Closed"""
195,10.1.1.46,,Failed,,,,,,,,"""Port Closed"""
196,10.1.1.47,,Failed,,,,,,,,"""Port Closed"""
197,10.1.1.48,,Failed,,,,,,,,"""Port Closed"""
198,10.1.1.49,,Failed,,,,,,,,"""Port Closed"""
199,10.1.1.50,,Failed,,,,,,,,"""Port Closed"""
200,10.1.1.51,,Failed,,,,,,,,"""Port Closed"""
201,10.1.1.52,,Failed,,,,,,,,"""Port Closed"""
202,10.1.1.53,,Failed,,,,,,,,"""Port Closed"""
203,10.1.1.54,,Failed,,,,,,,,"""Port Closed"""
204,10.1.1.55,,Failed,,,,,,,,"""Port Closed"""
205,10.1.1.56,,Failed,,,,,,,,"""Port Closed"""
206,10.1.1.57,,Failed,,,,,,,,"""Port Closed"""
207,10.1.1.58,,Failed,,,,,,,,"""Port Closed"""
208,10.1.1.59,,Failed,,,,,,,,"""Port Closed"""
209,10.1.1.6,,Failed,,,,,,,,"""Port Closed"""
210,10.1.1.60,,Failed,,,,,,,,"""Port Closed"""
211,10.1.1.61,,Failed,,,,,,,,"""Port Closed"""
212,10.1.1.62,,Failed,,,,,,,,"""Port Closed"""
213,10.1.1.63,,Failed,,,,,,,,"""Port Closed"""
214,10.1.1.64,,Failed,,,,,,,,"""Port Closed"""
215,10.1.1.65,,Failed,,,,,,,,"""Port Closed"""
216,10.1.1.66,,Failed,,,,,,,,"""Port Closed"""
217,10.1.1.67,,Failed,,,,,,,,"""Port Closed"""
218,10.1.1.68,,Failed,,,,,,,,"""Port Closed"""
219,10.1.1.69,,Failed,,,,,,,,"""Port Closed"""
220,10.1.1.7,,Failed,,,,,,,,"""Port Closed"""
221,10.1.1.70,,Failed,,,,,,,,"""Port Closed"""
222,10.1.1.71,,Failed,,,,,,,,"""Port Closed"""
223,10.1.1.72,,Failed,,,,,,,,"""Port Closed"""
224,10.1.1.73,,Failed,,,,,,,,"""Port Closed"""
225,10.1.1.74,,Failed,,,,,,,,"""Port Closed"""
226,10.1.1.75,,Failed,,,,,,,,"""Port Closed"""
227,10.1.1.76,,Failed,,,,,,,,"""Port Closed"""
228,10.1.1.77,,Failed,,,,,,,,"""Port Closed"""
229,10.1.1.78,,Failed,,,,,,,,"""Port Closed"""
230,10.1.1.79,,Failed,,,,,,,,"""Port Closed"""
231,10.1.1.8,,Failed,,,,,,,,"""Port Closed"""
232,10.1.1.80,,Failed,,,,,,,,"""Port Closed"""
233,10.1.1.81,,Failed,,,,,,,,"""Port Closed"""
234,10.1.1.82,,Failed,,,,,,,,"""Port Closed"""
235,10.1.1.83,,Failed,,,,,,,,"""Port Closed"""
236,10.1.1.84,,Failed,,,,,,,,"""Port Closed"""
237,10.1.1.85,,Failed,,,,,,,,"""Port Closed"""
238,10.1.1.86,,Failed,,,,,,,,"""Port Closed"""
239,10.1.1.87,,Failed,,,,,,,,"""Port Closed"""
240,10.1.1.88,,Failed,,,,,,,,"""Port Closed"""
241,10.1.1.89,,Failed,,,,,,,,"""Port Closed"""
242,10.1.1.9,,Failed,,,,,,,,"""Port Closed"""
243,10.1.1.90,,Failed,,,,,,,,"""Port Closed"""
244,10.1.1.91,,Failed,,,,,,,,"""Port Closed"""
245,10.1.1.92,,Failed,,,,,,,,"""Port Closed"""
246,10.1.1.93,,Failed,,,,,,,,"""Port Closed"""
247,10.1.1.94,,Failed,,,,,,,,"""Port Closed"""
248,10.1.1.95,,Failed,,,,,,,,"""Port Closed"""
249,10.1.1.96,,Failed,,,,,,,,"""Port Closed"""
250,10.1.1.97,,Failed,,,,,,,,"""Port Closed"""
251,10.1.1.98,,Failed,,,,,,,,"""Port Closed"""
252,10.1.1.99,,Failed,,,,,,,,"""Port Closed"""
253,10.1.1.2,DC1,Success,DC1,Microsoft Windows Server 2022 Standard Evaluation,Licensed,59,2,Outdated,"Domain=Enabled, Private=Enabled, Public=Enabled",
254,10.1.1.3,PC1WIN10,Success,PC1WIN10,Microsoft Windows 10 Education,Notification,60,2,Outdated,"Domain=Disabled, Private=Disabled, Public=Disabled",
